x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-102.5268922,-45.14577601,-101.01913,4,2023-08-10T09:12:17.789081Z,46.51056944,8.476033169,-1.38436087,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.14E-05,12,-4.238113318,MwA
-91.42203795,-47.501869,-84.496959,6,2023-08-10T09:13:22.607385Z,46.51054693,8.476177441,-1.400883041,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000115336,21,-3.907071143,MwA
-94.60838591,-48.63678597,-87.408068,9,2023-08-10T09:17:30.355541Z,46.5105371,8.476135733,-1.397971932,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000111976,16,-4.110004845,MwA
-90.89109442,-45.00421693,-98.587599,10,2023-08-10T09:17:38.726869Z,46.51056933,8.476184786,-1.386792401,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.16E-05,11,-4.467074892,MwA
-101.587509,-45.06778902,-99.86192,12,2023-08-10T09:18:45.157562Z,46.51057003,8.476045421,-1.38551808,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.59E-05,13,-4.067523252,MwA
-94.71578144,-46.09442117,-91.907411,14,2023-08-10T09:19:39.791560Z,46.51055998,8.476134771,-1.393472589,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.35E-05,9,-4.549267099,MwA
-89.74428798,-45.89094591,-86.645803,15,2023-08-10T09:20:11.468284Z,46.51056122,8.476199576,-1.398734197,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000105824,8,-4.604251488,MwA
-101.1934682,-53.58217069,-88.722596,18,2023-08-10T09:22:03.848629Z,46.5104934,8.47604909,-1.396657404,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.01E-05,8,-4.615486327,MwA
-92.62576501,-46.30448109,-101.939154,19,2023-08-10T09:22:21.049451Z,46.51055784,8.476161962,-1.383440846,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,4.98E-05,9,-4.526256281,MwA
-100.5298449,-48.33891226,-105.189171,20,2023-08-10T09:22:22.219825Z,46.51054048,8.476058636,-1.380190829,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.38E-05,9,-4.50536768,MwA
-99.36996216,-40.11471432,-91.353004,21,2023-08-10T09:22:40.251828Z,46.51061432,8.476075166,-1.394026996,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000119386,10,-4.271227404,MwA
-88.19408385,-45.55657759,-102.85942,22,2023-08-10T09:22:57.336652Z,46.51056404,8.476219827,-1.38252058,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.17E-05,8,-4.60752272,MwA
-91.28726439,-48.15158312,-84.034292,24,2023-08-10T09:23:09.888419Z,46.51054107,8.476179085,-1.401345708,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00010299,13,-4.275448369,MwA
-86.87880932,-44.32659763,-87.769906,25,2023-08-10T09:23:42.390182Z,46.51057495,8.476237177,-1.397610094,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000102962,23,-3.670317237,MwA
-96.73713914,-49.97457403,-87.401419,26,2023-08-10T09:24:32.290820Z,46.51052532,8.476107769,-1.397978581,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000113533,9,-4.473060439,MwA
-92.11994074,-48.18923162,-86.006156,27,2023-08-10T09:24:43.143847Z,46.51054083,8.47616823,-1.399373844,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.85E-05,17,-4.095171355,MwA
