Time,EC,Experiment
00:00:00,186.6,High Seismicity
00:00:02,186.6,High Seismicity
00:00:04,186.6,High Seismicity
00:00:06,186.6,High Seismicity
00:00:08,186.6,High Seismicity
00:00:10,186.6,High Seismicity
00:00:12,186.6,High Seismicity
00:00:14,186.6,High Seismicity
00:00:16,186.6,High Seismicity
00:00:18,186.6,High Seismicity
00:00:20,186.6,High Seismicity
00:00:22,186.6,High Seismicity
00:00:24,186.6,High Seismicity
00:00:26,186.6,High Seismicity
00:00:28,186.6,High Seismicity
00:00:30,186.6,High Seismicity
00:00:32,186.6,High Seismicity
00:00:34,186.6,High Seismicity
00:00:36,186.6,High Seismicity
00:00:38,186.6,High Seismicity
00:00:40,186.6,High Seismicity
00:00:42,186.7,High Seismicity
00:00:44,186.6,High Seismicity
00:00:46,186.6,High Seismicity
00:00:48,186.6,High Seismicity
00:00:50,186.6,High Seismicity
00:00:52,186.6,High Seismicity
00:00:54,186.6,High Seismicity
00:00:56,186.6,High Seismicity
00:00:58,186.6,High Seismicity
00:01:00,186.7,High Seismicity
00:01:02,186.6,High Seismicity
00:01:04,186.7,High Seismicity
00:01:06,186.7,High Seismicity
00:01:08,186.7,High Seismicity
00:01:10,186.7,High Seismicity
00:01:12,186.7,High Seismicity
00:01:14,186.7,High Seismicity
00:01:16,186.7,High Seismicity
00:01:18,186.7,High Seismicity
00:01:20,186.7,High Seismicity
00:01:22,186.7,High Seismicity
00:01:24,186.7,High Seismicity
00:01:26,186.7,High Seismicity
00:01:28,186.7,High Seismicity
00:01:30,186.7,High Seismicity
00:01:32,186.7,High Seismicity
00:01:34,186.7,High Seismicity
00:01:36,186.7,High Seismicity
00:01:38,186.7,High Seismicity
00:01:40,186.7,High Seismicity
00:01:42,186.7,High Seismicity
00:01:44,186.7,High Seismicity
00:01:46,186.7,High Seismicity
00:01:48,186.7,High Seismicity
00:01:50,186.7,High Seismicity
00:01:52,186.7,High Seismicity
00:01:54,186.7,High Seismicity
00:01:56,186.7,High Seismicity
00:01:58,186.7,High Seismicity
00:02:00,186.8,High Seismicity
00:02:02,186.7,High Seismicity
00:02:04,186.8,High Seismicity
00:02:06,186.8,High Seismicity
00:02:08,186.8,High Seismicity
00:02:10,186.8,High Seismicity
00:02:12,186.7,High Seismicity
