Time,ORP,Experiment
00:00:01,194.5,Low Seismicity
00:00:03,196.4,Low Seismicity
00:00:05,199.1,Low Seismicity
00:00:07,197.9,Low Seismicity
00:00:09,198.3,Low Seismicity
00:00:11,196.6,Low Seismicity
00:00:13,196.1,Low Seismicity
00:00:15,199.5,Low Seismicity
00:00:17,202,Low Seismicity
00:00:19,202,Low Seismicity
00:00:21,200,Low Seismicity
00:00:23,199.1,Low Seismicity
00:00:25,199,Low Seismicity
00:00:27,201,Low Seismicity
00:00:29,202,Low Seismicity
00:00:31,195.9,Low Seismicity
00:00:33,195.4,Low Seismicity
00:00:35,196,Low Seismicity
00:00:37,196.7,Low Seismicity
00:00:39,197.2,Low Seismicity
00:00:41,193.9,Low Seismicity
00:00:43,201,Low Seismicity
00:00:45,201,Low Seismicity
00:00:47,205,Low Seismicity
00:00:49,204,Low Seismicity
00:00:51,202,Low Seismicity
00:00:53,198.1,Low Seismicity
00:00:55,196.3,Low Seismicity
00:00:57,195.8,Low Seismicity
00:00:59,198,Low Seismicity
00:01:01,197.6,Low Seismicity
00:01:03,201,Low Seismicity
00:01:05,202,Low Seismicity
00:01:07,200,Low Seismicity
00:01:09,204,Low Seismicity
00:01:11,199.2,Low Seismicity
00:01:13,199.6,Low Seismicity
00:01:15,196.3,Low Seismicity
00:01:17,204,Low Seismicity
00:01:19,205,Low Seismicity
00:01:21,204,Low Seismicity
00:01:23,203,Low Seismicity
00:01:25,205,Low Seismicity
00:01:27,204,Low Seismicity
00:01:29,201,Low Seismicity
00:01:31,198.5,Low Seismicity
00:01:33,197.9,Low Seismicity
00:01:35,193.2,Low Seismicity
00:01:37,196.7,Low Seismicity
00:01:39,198,Low Seismicity
00:01:41,197.3,Low Seismicity
00:01:43,194.1,Low Seismicity
00:01:45,192.5,Low Seismicity
00:01:47,193.5,Low Seismicity
00:01:49,196.9,Low Seismicity
00:01:51,197,Low Seismicity
00:01:53,196.5,Low Seismicity
