Time,pH,Experiment
00:00:00,8.53,August 10-11
00:00:02,8.54,August 10-11
00:00:04,8.54,August 10-11
00:00:06,8.53,August 10-11
00:00:08,8.53,August 10-11
00:00:10,8.53,August 10-11
00:00:12,8.54,August 10-11
00:00:14,8.54,August 10-11
00:00:16,8.54,August 10-11
00:00:18,8.53,August 10-11
00:00:20,8.53,August 10-11
00:00:22,8.53,August 10-11
00:00:24,8.53,August 10-11
00:00:26,8.54,August 10-11
00:00:28,8.53,August 10-11
00:00:30,8.52,August 10-11
00:00:32,8.53,August 10-11
00:00:34,8.53,August 10-11
00:00:36,8.52,August 10-11
00:00:38,8.51,August 10-11
00:00:40,8.53,August 10-11
00:00:42,8.53,August 10-11
00:00:44,8.51,August 10-11
00:00:46,8.52,August 10-11
00:00:48,8.53,August 10-11
00:00:50,8.52,August 10-11
00:00:52,8.53,August 10-11
00:00:54,8.53,August 10-11
00:00:56,8.53,August 10-11
00:00:58,8.53,August 10-11
00:01:00,8.52,August 10-11
00:01:02,8.51,August 10-11
00:01:04,8.51,August 10-11
00:01:06,8.52,August 10-11
00:01:08,8.51,August 10-11
00:01:10,8.51,August 10-11
00:01:12,8.51,August 10-11
00:01:14,8.51,August 10-11
00:01:16,8.52,August 10-11
00:01:18,8.53,August 10-11
00:01:20,8.53,August 10-11
00:01:22,8.54,August 10-11
00:01:24,8.54,August 10-11
00:01:26,8.54,August 10-11
00:01:28,8.53,August 10-11
00:01:30,8.53,August 10-11
00:01:32,8.52,August 10-11
00:01:34,8.53,August 10-11
00:01:36,8.53,August 10-11
00:01:38,8.53,August 10-11
00:01:40,8.53,August 10-11
00:01:42,8.52,August 10-11
00:01:44,8.51,August 10-11
00:01:46,8.52,August 10-11
00:01:48,8.53,August 10-11
00:01:50,8.53,August 10-11
00:01:52,8.53,August 10-11
00:01:54,8.53,August 10-11
00:01:56,8.53,August 10-11
00:01:58,8.53,August 10-11
00:02:00,8.51,August 10-11
00:02:02,8.51,August 10-11
00:02:04,8.52,August 10-11
00:02:06,8.52,August 10-11
00:02:08,8.52,August 10-11
00:02:10,8.53,August 10-11
00:02:12,8.54,August 10-11
00:02:14,8.54,August 10-11
00:02:16,8.53,August 10-11
00:02:18,8.53,August 10-11
00:02:20,8.53,August 10-11
00:02:22,8.53,August 10-11
00:02:24,8.53,August 10-11
00:02:26,8.52,August 10-11
00:02:28,8.51,August 10-11
00:02:30,8.52,August 10-11
00:02:32,8.52,August 10-11
00:02:34,8.52,August 10-11
00:02:36,8.53,August 10-11
00:02:38,8.54,August 10-11
00:02:40,8.53,August 10-11
00:02:42,8.51,August 10-11
00:02:44,8.51,August 10-11
00:02:46,8.52,August 10-11
00:02:48,8.53,August 10-11
00:02:50,8.52,August 10-11
00:02:52,8.52,August 10-11
00:02:54,8.51,August 10-11
00:02:56,8.52,August 10-11
00:02:58,8.52,August 10-11
00:03:00,8.53,August 10-11
00:03:02,8.52,August 10-11
00:03:04,8.52,August 10-11
00:03:06,8.52,August 10-11
00:03:08,8.52,August 10-11
00:03:10,8.52,August 10-11
00:03:12,8.53,August 10-11
00:03:14,8.53,August 10-11
00:03:16,8.54,August 10-11
00:03:18,8.54,August 10-11
00:03:20,8.54,August 10-11
00:03:22,8.53,August 10-11
00:03:24,8.51,August 10-11
00:03:26,8.52,August 10-11
00:03:28,8.52,August 10-11
00:03:30,8.52,August 10-11
00:03:32,8.52,August 10-11
00:03:34,8.52,August 10-11
00:03:36,8.52,August 10-11
00:03:38,8.52,August 10-11
00:03:40,8.53,August 10-11
00:03:42,8.53,August 10-11
00:03:44,8.52,August 10-11
00:03:46,8.53,August 10-11
00:03:48,8.53,August 10-11
00:03:50,8.52,August 10-11
00:03:52,8.53,August 10-11
00:03:54,8.53,August 10-11
00:03:56,8.52,August 10-11
00:03:58,8.52,August 10-11
00:04:00,8.53,August 10-11
00:04:02,8.53,August 10-11
00:04:04,8.53,August 10-11
00:04:06,8.53,August 10-11
00:04:08,8.53,August 10-11
00:04:10,8.53,August 10-11
00:04:12,8.54,August 10-11
00:04:14,8.54,August 10-11
00:04:16,8.54,August 10-11
00:04:18,8.53,August 10-11
00:04:20,8.53,August 10-11
00:04:22,8.54,August 10-11
00:04:24,8.54,August 10-11
00:04:26,8.54,August 10-11
00:04:28,8.54,August 10-11
00:04:30,8.54,August 10-11
00:04:32,8.53,August 10-11
00:04:34,8.53,August 10-11
00:04:36,8.54,August 10-11
00:04:38,8.54,August 10-11
00:04:40,8.54,August 10-11
00:04:42,8.54,August 10-11
00:04:44,8.54,August 10-11
00:04:46,8.53,August 10-11
00:04:48,8.53,August 10-11
00:04:50,8.54,August 10-11
00:04:52,8.53,August 10-11
00:04:54,8.52,August 10-11
00:04:56,8.52,August 10-11
00:04:58,8.52,August 10-11
00:05:00,8.53,August 10-11
00:05:02,8.52,August 10-11
00:05:04,8.53,August 10-11
00:05:06,8.53,August 10-11
00:05:08,8.53,August 10-11
00:05:10,8.52,August 10-11
00:05:12,8.51,August 10-11
00:05:14,8.51,August 10-11
00:05:16,8.5,August 10-11
00:05:18,8.51,August 10-11
00:05:20,8.52,August 10-11
00:05:22,8.52,August 10-11
00:05:24,8.52,August 10-11
00:05:26,8.53,August 10-11
00:05:28,8.54,August 10-11
00:05:30,8.53,August 10-11
00:05:32,8.53,August 10-11
00:05:34,8.53,August 10-11
00:05:36,8.53,August 10-11
00:05:38,8.54,August 10-11
00:05:40,8.51,August 10-11
00:05:42,8.52,August 10-11
00:05:44,8.53,August 10-11
00:05:46,8.53,August 10-11
00:05:48,8.53,August 10-11
00:05:50,8.53,August 10-11
00:05:52,8.54,August 10-11
00:05:54,8.53,August 10-11
00:05:56,8.52,August 10-11
00:05:58,8.51,August 10-11
00:06:00,8.51,August 10-11
00:06:02,8.52,August 10-11
00:06:04,8.51,August 10-11
00:06:06,8.52,August 10-11
00:06:08,8.52,August 10-11
00:06:10,8.53,August 10-11
00:06:12,8.52,August 10-11
00:06:14,8.53,August 10-11
00:06:16,8.53,August 10-11
00:06:18,8.53,August 10-11
00:06:20,8.52,August 10-11
00:06:22,8.51,August 10-11
00:06:24,8.5,August 10-11
00:06:26,8.51,August 10-11
00:06:28,8.52,August 10-11
00:06:30,8.53,August 10-11
00:06:32,8.53,August 10-11
00:06:34,8.53,August 10-11
00:06:36,8.53,August 10-11
00:06:38,8.52,August 10-11
00:06:40,8.52,August 10-11
00:06:42,8.52,August 10-11
00:06:44,8.52,August 10-11
00:06:46,8.51,August 10-11
00:06:48,8.52,August 10-11
00:06:50,8.53,August 10-11
00:06:52,8.53,August 10-11
00:06:54,8.53,August 10-11
00:06:56,8.52,August 10-11
00:06:58,8.52,August 10-11
00:07:00,8.53,August 10-11
00:07:02,8.53,August 10-11
00:07:04,8.54,August 10-11
00:07:06,8.53,August 10-11
00:07:08,8.53,August 10-11
00:07:10,8.53,August 10-11
00:07:12,8.52,August 10-11
00:07:14,8.54,August 10-11
00:07:16,8.53,August 10-11
00:07:18,8.54,August 10-11
00:07:20,8.53,August 10-11
00:07:22,8.52,August 10-11
00:07:24,8.52,August 10-11
00:07:26,8.52,August 10-11
00:07:28,8.52,August 10-11
00:07:30,8.53,August 10-11
00:07:32,8.53,August 10-11
00:07:34,8.54,August 10-11
00:07:36,8.54,August 10-11
00:07:38,8.53,August 10-11
00:07:40,8.53,August 10-11
00:07:42,8.52,August 10-11
00:07:44,8.5,August 10-11
00:07:46,8.5,August 10-11
00:07:48,8.52,August 10-11
00:07:50,8.52,August 10-11
00:07:52,8.52,August 10-11
00:07:54,8.53,August 10-11
00:07:56,8.53,August 10-11
00:07:58,8.52,August 10-11
00:08:00,8.53,August 10-11
00:08:02,8.52,August 10-11
00:08:04,8.53,August 10-11
00:08:06,8.52,August 10-11
00:08:08,8.53,August 10-11
00:08:10,8.51,August 10-11
00:08:12,8.51,August 10-11
00:08:14,8.51,August 10-11
00:08:16,8.52,August 10-11
00:08:18,8.53,August 10-11
00:08:20,8.53,August 10-11
00:08:22,8.53,August 10-11
00:08:24,8.51,August 10-11
00:08:26,8.51,August 10-11
00:08:28,8.52,August 10-11
00:08:30,8.52,August 10-11
00:08:32,8.53,August 10-11
00:08:34,8.53,August 10-11
00:08:36,8.53,August 10-11
00:08:38,8.52,August 10-11
00:08:40,8.53,August 10-11
00:08:42,8.53,August 10-11
00:08:44,8.54,August 10-11
00:08:46,8.54,August 10-11
00:08:48,8.54,August 10-11
00:08:50,8.54,August 10-11
00:08:52,8.53,August 10-11
00:08:54,8.53,August 10-11
00:08:56,8.53,August 10-11
00:08:58,8.53,August 10-11
00:09:00,8.52,August 10-11
00:09:02,8.53,August 10-11
00:09:04,8.53,August 10-11
