Time,ORP,Experiment
09:29:01,-127.3,Baseline
09:29:03,-127.6,Baseline
09:29:05,-127.8,Baseline
09:29:07,-128,Baseline
09:29:09,-128.2,Baseline
09:29:11,-128.3,Baseline
09:29:13,-128.6,Baseline
09:29:15,-128.8,Baseline
09:29:17,-128.9,Baseline
09:29:19,-129,Baseline
09:29:21,-129.1,Baseline
09:29:23,-129.2,Baseline
09:29:25,-129.2,Baseline
09:29:27,-129.3,Baseline
09:29:29,-129.5,Baseline
09:29:31,-129.5,Baseline
09:29:33,-129.6,Baseline
09:29:35,-129.7,Baseline
09:29:37,-129.8,Baseline
09:29:39,-129.9,Baseline
09:29:41,-129.9,Baseline
09:29:43,-130,Baseline
09:29:45,-130,Baseline
09:29:47,-130.1,Baseline
09:29:49,-130.1,Baseline
09:29:51,-130.2,Baseline
09:29:53,-130.3,Baseline
09:29:55,-130.3,Baseline
09:29:57,-130.3,Baseline
09:29:59,-130.4,Baseline
09:30:01,-130.4,Baseline
09:30:03,-130.4,Baseline
09:30:05,-130.4,Baseline
09:30:07,-130.5,Baseline
09:30:09,-130.5,Baseline
09:30:11,-130.6,Baseline
09:30:13,-130.6,Baseline
09:30:15,-130.6,Baseline
09:30:17,-130.6,Baseline
09:30:19,-130.6,Baseline
09:30:21,-130.6,Baseline
09:30:23,-130.6,Baseline
09:30:25,-130.7,Baseline
09:30:27,-130.6,Baseline
09:30:29,-130.7,Baseline
09:30:31,-130.7,Baseline
09:30:33,-130.7,Baseline
09:30:35,-130.7,Baseline
09:30:37,-130.7,Baseline
09:30:39,-130.6,Baseline
09:30:41,-130.6,Baseline
09:30:43,-130.7,Baseline
09:30:45,-130.8,Baseline
09:30:47,-130.8,Baseline
09:30:49,-130.8,Baseline
09:30:51,-130.8,Baseline
09:30:53,-130.7,Baseline
09:30:55,-130.7,Baseline
09:30:57,-130.7,Baseline
09:30:59,-130.8,Baseline
09:31:01,-130.7,Baseline
09:31:03,-130.7,Baseline
09:31:05,-130.8,Baseline
09:31:07,-130.8,Baseline
09:31:09,-130.8,Baseline
09:31:11,-130.8,Baseline
09:31:13,-130.8,Baseline
09:31:15,-130.9,Baseline
09:31:17,-130.8,Baseline
09:31:19,-130.7,Baseline
09:31:21,-130.8,Baseline
09:31:23,-130.8,Baseline
09:31:25,-130.9,Baseline
09:31:27,-130.9,Baseline
09:31:29,-130.8,Baseline
09:31:31,-130.8,Baseline
09:31:33,-130.8,Baseline
09:31:35,-130.9,Baseline
09:31:37,-130.8,Baseline
09:31:39,-130.8,Baseline
09:31:41,-130.7,Baseline
09:31:43,-130.6,Baseline
09:31:45,-130.7,Baseline
09:31:47,-130.7,Baseline
09:31:49,-130.7,Baseline
09:31:51,-130.6,Baseline
09:31:53,-130.7,Baseline
09:31:55,-130.7,Baseline
09:31:57,-130.7,Baseline
09:31:59,-130.6,Baseline
09:32:01,-130.7,Baseline
09:32:03,-130.6,Baseline
09:32:05,-130.6,Baseline
09:32:07,-130.7,Baseline
09:32:09,-130.6,Baseline
09:32:11,-130.6,Baseline
09:32:13,-130.6,Baseline
09:32:15,-130.7,Baseline
09:32:17,-130.6,Baseline
09:32:19,-130.6,Baseline
09:32:21,-130.6,Baseline
09:32:23,-130.6,Baseline
09:32:25,-130.6,Baseline
09:32:27,-130.6,Baseline
09:32:29,-130.6,Baseline
09:32:31,-130.6,Baseline
09:32:33,-130.5,Baseline
09:32:35,-130.6,Baseline
09:32:37,-130.6,Baseline
09:32:39,-130.5,Baseline
09:32:41,-130.6,Baseline
09:32:43,-130.5,Baseline
09:32:45,-130.5,Baseline
09:32:47,-130.4,Baseline
09:32:49,-130.5,Baseline
09:32:51,-130.5,Baseline
09:32:53,-130.5,Baseline
09:32:55,-130.5,Baseline
09:32:57,-130.5,Baseline
09:32:59,-130.5,Baseline
09:33:01,-130.5,Baseline
09:33:03,-130.4,Baseline
09:33:05,-130.4,Baseline
09:33:07,-130.5,Baseline
09:33:09,-130.5,Baseline
09:33:11,-130.4,Baseline
09:33:13,-130.4,Baseline
09:33:15,-130.4,Baseline
09:33:17,-130.5,Baseline
09:33:19,-130.5,Baseline
09:33:21,-130.3,Baseline
09:33:23,-130.3,Baseline
09:33:25,-130.4,Baseline
09:33:27,-130.2,Baseline
09:33:29,-130.3,Baseline
09:33:31,-130.3,Baseline
09:33:33,-130.4,Baseline
09:33:35,-130.4,Baseline
09:33:37,-130.4,Baseline
09:33:39,-130.4,Baseline
09:33:41,-130.4,Baseline
09:33:43,-130.4,Baseline
09:33:45,-130.3,Baseline
09:33:47,-130.3,Baseline
09:33:49,-130.4,Baseline
09:33:51,-130.3,Baseline
09:33:53,-130.3,Baseline
09:33:55,-130.3,Baseline
09:33:57,-130.2,Baseline
09:33:59,-130.1,Baseline
09:34:01,-130.1,Baseline
09:34:03,-130.1,Baseline
09:34:05,-130.2,Baseline
09:34:07,-130.3,Baseline
09:34:09,-130.3,Baseline
09:34:11,-130.3,Baseline
09:34:13,-130.2,Baseline
09:34:15,-130.2,Baseline
09:34:17,-130.1,Baseline
09:34:19,-130.2,Baseline
09:34:21,-130.2,Baseline
09:34:23,-130.2,Baseline
09:34:25,-130.1,Baseline
09:34:27,-130.1,Baseline
09:34:29,-130.1,Baseline
09:34:31,-130,Baseline
09:34:33,-130,Baseline
09:34:35,-130.1,Baseline
09:34:37,-130.1,Baseline
09:34:39,-130.1,Baseline
09:34:41,-130.2,Baseline
09:34:43,-130.2,Baseline
09:34:45,-130.2,Baseline
09:34:47,-130.2,Baseline
09:34:49,-130.2,Baseline
09:34:51,-130.1,Baseline
09:34:53,-130.1,Baseline
09:34:55,-130,Baseline
09:34:57,-130,Baseline
09:34:59,-130,Baseline
09:35:01,-130,Baseline
09:35:03,-130.1,Baseline
09:35:05,-130,Baseline
09:35:07,-130.1,Baseline
09:35:09,-130.1,Baseline
09:35:11,-130.1,Baseline
09:35:13,-130.1,Baseline
09:35:15,-130.1,Baseline
09:35:17,-130.1,Baseline
09:35:19,-130,Baseline
09:35:21,-130,Baseline
09:35:23,-130,Baseline
09:35:25,-130,Baseline
09:35:27,-130,Baseline
09:35:29,-129.9,Baseline
09:35:31,-130,Baseline
09:35:33,-130,Baseline
09:35:35,-130,Baseline
09:35:37,-130,Baseline
09:35:39,-130,Baseline
09:35:41,-130,Baseline
09:35:43,-129.9,Baseline
09:35:45,-129.9,Baseline
09:35:47,-129.8,Baseline
09:35:49,-129.9,Baseline
09:35:51,-130,Baseline
09:35:53,-129.9,Baseline
09:35:55,-129.8,Baseline
09:35:57,-129.8,Baseline
09:35:59,-129.8,Baseline
09:36:01,-129.8,Baseline
09:36:03,-129.9,Baseline
09:36:05,-129.9,Baseline
09:36:07,-129.9,Baseline
09:36:09,-129.9,Baseline
09:36:11,-129.9,Baseline
09:36:13,-129.9,Baseline
09:36:15,-129.8,Baseline
09:36:17,-129.9,Baseline
09:36:19,-129.9,Baseline
09:36:21,-129.9,Baseline
09:36:23,-129.7,Baseline
09:36:25,-129.8,Baseline
09:36:27,-129.9,Baseline
