Time,pH,Experiment
09:28:00,8.79,July 27
09:28:02,8.8,July 27
09:28:04,8.79,July 27
09:28:06,8.79,July 27
09:28:08,8.8,July 27
09:28:10,8.83,July 27
09:28:12,8.8,July 27
09:28:14,8.82,July 27
09:28:16,8.8,July 27
09:28:18,8.81,July 27
09:28:20,8.8,July 27
09:28:22,8.82,July 27
09:28:24,8.82,July 27
09:28:26,8.82,July 27
09:28:28,8.83,July 27
09:28:30,8.86,July 27
09:28:32,8.83,July 27
09:28:34,8.84,July 27
09:28:36,8.84,July 27
09:28:38,8.82,July 27
09:28:40,8.84,July 27
09:28:42,8.83,July 27
09:28:44,8.85,July 27
09:28:46,8.87,July 27
09:28:48,8.83,July 27
09:28:50,8.82,July 27
09:28:52,8.83,July 27
09:28:54,8.84,July 27
09:28:56,8.84,July 27
09:28:58,8.85,July 27
09:29:00,8.85,July 27
09:29:02,8.85,July 27
09:29:04,8.86,July 27
09:29:06,8.84,July 27
09:29:08,8.84,July 27
09:29:10,8.87,July 27
09:29:12,8.84,July 27
09:29:14,8.85,July 27
09:29:16,8.85,July 27
09:29:18,8.84,July 27
09:29:20,8.85,July 27
09:29:22,8.85,July 27
09:29:24,8.86,July 27
09:29:26,8.84,July 27
09:29:28,8.84,July 27
09:29:30,8.84,July 27
09:29:32,8.84,July 27
09:29:34,8.87,July 27
09:29:36,8.86,July 27
09:29:38,8.86,July 27
09:29:40,8.85,July 27
09:29:42,8.85,July 27
09:29:44,8.85,July 27
09:29:46,8.85,July 27
09:29:48,8.86,July 27
09:29:50,8.85,July 27
09:29:52,8.86,July 27
09:29:54,8.86,July 27
09:29:56,8.87,July 27
09:29:58,8.85,July 27
09:30:00,8.86,July 27
09:30:02,8.88,July 27
09:30:04,8.87,July 27
09:30:06,8.84,July 27
09:30:08,8.85,July 27
09:30:10,8.84,July 27
09:30:12,8.85,July 27
09:30:14,8.84,July 27
09:30:16,8.84,July 27
09:30:18,8.84,July 27
09:30:20,8.85,July 27
09:30:22,8.85,July 27
09:30:24,8.85,July 27
09:30:26,8.85,July 27
09:30:28,8.86,July 27
09:30:30,8.86,July 27
09:30:32,8.86,July 27
09:30:34,8.85,July 27
09:30:36,8.85,July 27
09:30:38,8.85,July 27
09:30:40,8.86,July 27
09:30:42,8.85,July 27
09:30:44,8.86,July 27
09:30:46,8.85,July 27
09:30:48,8.86,July 27
09:30:50,8.85,July 27
09:30:52,8.85,July 27
09:30:54,8.85,July 27
09:30:56,8.86,July 27
09:30:58,8.86,July 27
09:31:00,8.87,July 27
09:31:02,8.86,July 27
09:31:04,8.86,July 27
09:31:06,8.86,July 27
09:31:08,8.85,July 27
09:31:10,8.86,July 27
09:31:12,8.86,July 27
09:31:14,8.85,July 27
09:31:16,8.86,July 27
09:31:18,8.85,July 27
09:31:20,8.86,July 27
09:31:22,8.86,July 27
09:31:24,8.85,July 27
09:31:26,8.85,July 27
09:31:28,8.86,July 27
09:31:30,8.86,July 27
09:31:32,8.86,July 27
09:31:34,8.85,July 27
09:31:36,8.85,July 27
09:31:38,8.86,July 27
09:31:40,8.84,July 27
09:31:42,8.85,July 27
09:31:44,8.86,July 27
09:31:46,8.84,July 27
09:31:48,8.86,July 27
09:31:50,8.85,July 27
09:31:52,8.85,July 27
09:31:54,8.84,July 27
09:31:56,8.86,July 27
09:31:58,8.85,July 27
09:32:00,8.84,July 27
09:32:02,8.85,July 27
09:32:04,8.84,July 27
09:32:06,8.85,July 27
09:32:08,8.85,July 27
09:32:10,8.85,July 27
09:32:12,8.85,July 27
09:32:14,8.85,July 27
09:32:16,8.84,July 27
09:32:18,8.84,July 27
09:32:20,8.84,July 27
09:32:22,8.85,July 27
09:32:24,8.85,July 27
09:32:26,8.84,July 27
09:32:28,8.83,July 27
09:32:30,8.84,July 27
09:32:32,8.84,July 27
09:32:34,8.84,July 27
09:32:36,8.85,July 27
09:32:38,8.83,July 27
09:32:40,8.83,July 27
09:32:42,8.84,July 27
09:32:44,8.83,July 27
09:32:46,8.83,July 27
09:32:48,8.83,July 27
09:32:50,8.83,July 27
09:32:52,8.84,July 27
09:32:54,8.83,July 27
09:32:56,8.83,July 27
09:32:58,8.83,July 27
09:33:00,8.83,July 27
09:33:02,8.82,July 27
09:33:04,8.82,July 27
09:33:06,8.83,July 27
09:33:08,8.81,July 27
09:33:10,8.8,July 27
09:33:12,8.83,July 27
09:33:14,8.82,July 27
09:33:16,8.83,July 27
09:33:18,8.82,July 27
09:33:20,8.81,July 27
09:33:22,8.82,July 27
09:33:24,8.82,July 27
09:33:26,8.82,July 27
09:33:28,8.82,July 27
09:33:30,8.82,July 27
09:33:32,8.82,July 27
09:33:34,8.82,July 27
09:33:36,8.82,July 27
09:33:38,8.82,July 27
09:33:40,8.82,July 27
09:33:42,8.81,July 27
09:33:44,8.82,July 27
09:33:46,8.81,July 27
09:33:48,8.81,July 27
09:33:50,8.82,July 27
09:33:52,8.82,July 27
09:33:54,8.79,July 27
09:33:56,8.8,July 27
09:33:58,8.79,July 27
09:34:00,8.8,July 27
09:34:02,8.81,July 27
09:34:04,8.8,July 27
09:34:06,8.8,July 27
09:34:08,8.8,July 27
09:34:10,8.79,July 27
09:34:12,8.79,July 27
09:34:14,8.79,July 27
09:34:16,8.8,July 27
09:34:18,8.79,July 27
09:34:20,8.8,July 27
09:34:22,8.78,July 27
09:34:24,8.78,July 27
09:34:26,8.79,July 27
09:34:28,8.8,July 27
09:34:30,8.78,July 27
09:34:32,8.79,July 27
09:34:34,8.79,July 27
09:34:36,8.78,July 27
09:34:38,8.79,July 27
09:34:40,8.79,July 27
09:34:42,8.78,July 27
09:34:44,8.79,July 27
09:34:46,8.79,July 27
09:34:48,8.77,July 27
09:34:50,8.76,July 27
09:34:52,8.78,July 27
09:34:54,8.77,July 27
09:34:56,8.77,July 27
09:34:58,8.76,July 27
09:35:00,8.77,July 27
09:35:02,8.76,July 27
09:35:04,8.75,July 27
09:35:06,8.77,July 27
09:35:08,8.76,July 27
09:35:10,8.74,July 27
09:35:12,8.74,July 27
09:35:14,8.75,July 27
09:35:16,8.74,July 27
09:35:18,8.75,July 27
09:35:20,8.77,July 27
09:35:22,8.77,July 27
09:35:24,8.75,July 27
09:35:26,8.75,July 27
09:35:28,8.75,July 27
09:35:30,8.74,July 27
09:35:32,8.74,July 27
09:35:34,8.75,July 27
09:35:36,8.75,July 27
09:35:38,8.73,July 27
09:35:40,8.75,July 27
09:35:42,8.75,July 27
09:35:44,8.73,July 27
09:35:46,8.72,July 27
09:35:48,8.74,July 27
09:35:50,8.73,July 27
09:35:52,8.72,July 27
09:35:54,8.74,July 27
09:35:56,8.73,July 27
09:35:58,8.72,July 27
09:36:00,8.72,July 27
09:36:02,8.74,July 27
09:36:04,8.72,July 27
09:36:06,8.73,July 27
09:36:08,8.73,July 27
09:36:10,8.72,July 27
09:36:12,8.73,July 27
09:36:14,8.73,July 27
09:36:16,8.72,July 27
09:36:18,8.71,July 27
09:36:20,8.71,July 27
09:36:22,8.71,July 27
09:36:24,8.72,July 27
09:36:26,8.72,July 27
09:36:28,8.73,July 27
09:36:30,8.73,July 27
09:36:32,8.72,July 27
09:36:34,8.71,July 27
09:36:36,8.72,July 27
09:36:38,8.71,July 27
09:36:40,8.71,July 27
09:36:42,8.72,July 27
09:36:44,8.72,July 27
09:36:46,8.7,July 27
09:36:48,8.7,July 27
09:36:50,8.72,July 27
09:36:52,8.71,July 27
09:36:54,8.7,July 27
09:36:56,8.7,July 27
09:36:58,8.71,July 27
09:37:00,8.71,July 27
09:37:02,8.71,July 27
09:37:04,8.7,July 27
09:37:06,8.71,July 27
09:37:08,8.7,July 27
09:37:10,8.72,July 27
