x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-55.86681974,-23.41238894,-89.312005,1,2023-08-03T07:27:06.691797Z,46.51075938,8.476644808,-1.396067995,induced or triggered event,manual,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,mesimeri,0.000139531,9,-4.183736526,MwA
-60.70368161,20.49749621,-23.876467,3,2023-08-03T07:58:42.590497Z,46.51115493,8.476589371,-1.461503533,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000203801,13,-3.864207016,MwA
-88.6705691,-47.76466459,-79.22431,7,2023-08-03T09:18:54.494182Z,46.51054424,8.476213243,-1.40615569,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00014264,18,-4.230764227,MwA
-94.14562854,-46.80512764,-89.456741,12,2023-08-03T09:54:10.086986Z,46.51055352,8.476142077,-1.395923259,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.62E-05,9,-4.522677858,MwA
-94.22470722,-48.298198,-86.944999,14,2023-08-03T09:55:33.589577Z,46.5105401,8.47614079,-1.398435001,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.04E-05,9,-4.570807298,MwA
-85.34122794,-42.74421108,-89.812869,18,2023-08-03T09:57:17.962571Z,46.510589,8.476257481,-1.395567131,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.07E-05,8,-4.528645389,MwA
-97.19885031,-47.98502349,-90.236198,19,2023-08-03T09:57:26.292703Z,46.51054327,8.476102096,-1.395143802,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,3.39E-05,8,-4.519723494,MwA
-105.1215966,-46.88104514,-101.570823,20,2023-08-03T09:58:33.475851Z,46.51055414,8.475999066,-1.383809177,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.44E-05,9,-4.491959659,MwA
-93.77621319,-50.37466244,-83.074187,22,2023-08-03T09:59:03.450525Z,46.51052137,8.476146276,-1.402305813,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.87E-05,11,-4.257272301,MwA
-116.7851172,-39.35630322,-104.314152,25,2023-08-03T09:59:19.205433Z,46.51062321,8.475848408,-1.381065848,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000288621,8,-4.162452495,MwA
-106.5736912,-54.71375695,-95.61593,27,2023-08-03T09:59:50.600346Z,46.51048386,8.4759788,-1.38976407,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.69E-05,16,-4.040711362,MwA
-111.9867512,-48.11558909,-110.713316,28,2023-08-03T10:00:35.616525Z,46.51054385,8.475909412,-1.374666684,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000119411,8,-4.575678832,MwA
-93.86327613,-50.42471588,-83.743808,29,2023-08-03T10:00:37.421524Z,46.51052093,8.476145133,-1.401636192,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000201651,9,-4.37799866,MwA
