Time,EC,Experiment
14:00:00,72.4,High Seismicity
14:00:02,72.4,High Seismicity
14:00:04,72.4,High Seismicity
14:00:06,72.4,High Seismicity
14:00:08,72.3,High Seismicity
14:00:10,72.3,High Seismicity
14:00:12,72.3,High Seismicity
14:00:14,72.3,High Seismicity
14:00:16,72.4,High Seismicity
14:00:18,72.3,High Seismicity
14:00:20,72.3,High Seismicity
14:00:22,72.3,High Seismicity
14:00:24,72.3,High Seismicity
14:00:26,72.3,High Seismicity
14:00:28,72.3,High Seismicity
14:00:30,72.3,High Seismicity
14:00:32,72.3,High Seismicity
14:00:34,72.3,High Seismicity
14:00:36,72.3,High Seismicity
14:00:38,72.3,High Seismicity
14:00:40,72.3,High Seismicity
14:00:42,72.3,High Seismicity
14:00:44,72.3,High Seismicity
14:00:46,72.3,High Seismicity
14:00:48,72.2,High Seismicity
14:00:50,72.3,High Seismicity
14:00:52,72.3,High Seismicity
14:00:54,72.2,High Seismicity
14:00:56,72.2,High Seismicity
14:00:58,72.2,High Seismicity
14:01:00,72.2,High Seismicity
14:01:02,72.2,High Seismicity
14:01:04,72.2,High Seismicity
14:01:06,72.2,High Seismicity
14:01:08,72.2,High Seismicity
14:01:10,72.2,High Seismicity
14:01:12,72.2,High Seismicity
14:01:14,72.2,High Seismicity
14:01:16,72.2,High Seismicity
14:01:18,72.2,High Seismicity
14:01:20,72.2,High Seismicity
14:01:22,72.2,High Seismicity
14:01:24,72.2,High Seismicity
14:01:26,72.2,High Seismicity
14:01:28,72.2,High Seismicity
14:01:30,72.2,High Seismicity
14:01:32,72.2,High Seismicity
14:01:34,72.1,High Seismicity
14:01:36,72.1,High Seismicity
14:01:38,72.1,High Seismicity
14:01:40,72.1,High Seismicity
14:01:42,72.1,High Seismicity
14:01:44,72.1,High Seismicity
14:01:46,72.1,High Seismicity
14:01:48,72.1,High Seismicity
14:01:50,72.1,High Seismicity
14:01:52,72.1,High Seismicity
14:01:54,72.1,High Seismicity
14:01:56,72.1,High Seismicity
14:01:58,72.1,High Seismicity
14:02:00,72.1,High Seismicity
14:02:02,72.1,High Seismicity
14:02:04,72.1,High Seismicity
14:02:06,72.1,High Seismicity
14:02:08,72.1,High Seismicity
14:02:10,72.1,High Seismicity
14:02:12,72.1,High Seismicity
14:02:14,72.1,High Seismicity
14:02:16,72.1,High Seismicity
14:02:18,72.1,High Seismicity
14:02:20,72.1,High Seismicity
14:02:22,72.1,High Seismicity
14:02:24,72.1,High Seismicity
14:02:26,72.1,High Seismicity
14:02:28,72.1,High Seismicity
14:02:30,72.1,High Seismicity
14:02:32,72.1,High Seismicity
14:02:34,72,High Seismicity
14:02:36,72,High Seismicity
14:02:38,72.1,High Seismicity
14:02:40,72.1,High Seismicity
14:02:42,72.1,High Seismicity
14:02:44,72.1,High Seismicity
14:02:46,72.1,High Seismicity
14:02:48,72.1,High Seismicity
14:02:50,72.1,High Seismicity
14:02:52,72.1,High Seismicity
14:02:54,72.1,High Seismicity
14:02:56,72.1,High Seismicity
14:02:58,72.1,High Seismicity
14:03:00,72.1,High Seismicity
14:03:02,72.1,High Seismicity
