Time,ORP,Experiment
14:00:00,106.7,High Seismicity
14:00:02,105.9,High Seismicity
14:00:04,105.6,High Seismicity
14:00:06,105.1,High Seismicity
14:00:08,106.3,High Seismicity
14:00:10,106.3,High Seismicity
14:00:12,106.5,High Seismicity
14:00:14,106.7,High Seismicity
14:00:16,108.6,High Seismicity
14:00:18,110.2,High Seismicity
14:00:20,109.8,High Seismicity
14:00:22,108.8,High Seismicity
14:00:24,107.6,High Seismicity
14:00:26,106.7,High Seismicity
14:00:28,106.3,High Seismicity
14:00:30,104.8,High Seismicity
14:00:32,105.3,High Seismicity
14:00:34,107.4,High Seismicity
14:00:36,107.4,High Seismicity
14:00:38,108,High Seismicity
14:00:40,109.4,High Seismicity
14:00:42,109.5,High Seismicity
14:00:44,107.5,High Seismicity
14:00:46,107.9,High Seismicity
14:00:48,108.1,High Seismicity
14:00:50,108.7,High Seismicity
14:00:52,109.9,High Seismicity
14:00:54,111.3,High Seismicity
14:00:56,112.4,High Seismicity
14:00:58,111.4,High Seismicity
14:01:00,110.2,High Seismicity
14:01:02,109.8,High Seismicity
14:01:04,109.7,High Seismicity
14:01:06,109.1,High Seismicity
14:01:08,109.4,High Seismicity
14:01:10,108,High Seismicity
14:01:12,108.1,High Seismicity
14:01:14,108.2,High Seismicity
14:01:16,107.2,High Seismicity
14:01:18,106.7,High Seismicity
14:01:20,105.7,High Seismicity
14:01:22,104,High Seismicity
14:01:24,103,High Seismicity
14:01:26,102.7,High Seismicity
14:01:28,102.7,High Seismicity
14:01:30,102.7,High Seismicity
14:01:32,103,High Seismicity
14:01:34,102.4,High Seismicity
14:01:36,102.8,High Seismicity
14:01:38,103.6,High Seismicity
14:01:40,104.4,High Seismicity
14:01:42,105.7,High Seismicity
14:01:44,107.1,High Seismicity
14:01:46,106.9,High Seismicity
14:01:48,106.7,High Seismicity
14:01:50,107.3,High Seismicity
14:01:52,108.3,High Seismicity
14:01:54,106.9,High Seismicity
14:01:56,107.2,High Seismicity
14:01:58,107.6,High Seismicity
14:02:00,107.7,High Seismicity
14:02:02,108,High Seismicity
14:02:04,108.4,High Seismicity
14:02:06,108.4,High Seismicity
14:02:08,107.3,High Seismicity
14:02:10,107.2,High Seismicity
14:02:12,106.3,High Seismicity
14:02:14,105.4,High Seismicity
14:02:16,104,High Seismicity
14:02:18,103.1,High Seismicity
14:02:20,102.2,High Seismicity
14:02:22,101.8,High Seismicity
14:02:24,101.6,High Seismicity
14:02:26,101.1,High Seismicity
14:02:28,100.1,High Seismicity
14:02:30,100.6,High Seismicity
14:02:32,100.3,High Seismicity
14:02:34,100.3,High Seismicity
14:02:36,102,High Seismicity
14:02:38,102.4,High Seismicity
14:02:40,103.9,High Seismicity
14:02:42,103.7,High Seismicity
14:02:44,103.8,High Seismicity
14:02:46,103.9,High Seismicity
14:02:48,103.4,High Seismicity
14:02:50,104.5,High Seismicity
14:02:52,105.3,High Seismicity
14:02:54,105.6,High Seismicity
14:02:56,104.8,High Seismicity
14:02:58,105.3,High Seismicity
14:03:00,104.3,High Seismicity
14:03:02,104.7,High Seismicity
14:03:04,105,High Seismicity
14:03:06,104.4,High Seismicity
14:03:08,103,High Seismicity
14:03:10,105.1,High Seismicity
