Time,pH,Experiment
00:00:01,8.68,August 3-4
00:00:03,8.68,August 3-4
00:00:05,8.68,August 3-4
00:00:07,8.68,August 3-4
00:00:09,8.68,August 3-4
00:00:11,8.68,August 3-4
00:00:13,8.68,August 3-4
00:00:15,8.68,August 3-4
00:00:17,8.68,August 3-4
00:00:19,8.68,August 3-4
00:00:21,8.68,August 3-4
00:00:23,8.68,August 3-4
00:00:25,8.68,August 3-4
00:00:27,8.68,August 3-4
00:00:29,8.68,August 3-4
00:00:31,8.68,August 3-4
00:00:33,8.68,August 3-4
00:00:35,8.68,August 3-4
00:00:37,8.68,August 3-4
00:00:39,8.68,August 3-4
00:00:41,8.68,August 3-4
00:00:43,8.68,August 3-4
00:00:45,8.68,August 3-4
00:00:47,8.69,August 3-4
00:00:49,8.69,August 3-4
00:00:51,8.69,August 3-4
00:00:53,8.68,August 3-4
00:00:55,8.68,August 3-4
00:00:57,8.68,August 3-4
00:00:59,8.68,August 3-4
00:01:01,8.68,August 3-4
00:01:03,8.68,August 3-4
00:01:05,8.68,August 3-4
00:01:07,8.68,August 3-4
00:01:09,8.68,August 3-4
00:01:11,8.68,August 3-4
00:01:13,8.68,August 3-4
00:01:15,8.68,August 3-4
00:01:17,8.68,August 3-4
00:01:19,8.68,August 3-4
00:01:21,8.69,August 3-4
00:01:23,8.68,August 3-4
00:01:25,8.68,August 3-4
00:01:27,8.68,August 3-4
00:01:29,8.68,August 3-4
00:01:31,8.68,August 3-4
00:01:33,8.68,August 3-4
00:01:35,8.68,August 3-4
00:01:37,8.68,August 3-4
00:01:39,8.68,August 3-4
00:01:41,8.68,August 3-4
00:01:43,8.68,August 3-4
00:01:45,8.68,August 3-4
00:01:47,8.68,August 3-4
00:01:49,8.68,August 3-4
00:01:51,8.68,August 3-4
00:01:53,8.68,August 3-4
00:01:55,8.68,August 3-4
00:01:57,8.68,August 3-4
00:01:59,8.68,August 3-4
00:02:01,8.68,August 3-4
00:02:03,8.68,August 3-4
00:02:05,8.68,August 3-4
00:02:07,8.68,August 3-4
00:02:09,8.68,August 3-4
00:02:11,8.68,August 3-4
00:02:13,8.69,August 3-4
00:02:15,8.68,August 3-4
00:02:17,8.68,August 3-4
00:02:19,8.68,August 3-4
00:02:21,8.68,August 3-4
00:02:23,8.68,August 3-4
00:02:25,8.68,August 3-4
00:02:27,8.69,August 3-4
00:02:29,8.68,August 3-4
00:02:31,8.68,August 3-4
00:02:33,8.68,August 3-4
00:02:35,8.68,August 3-4
00:02:37,8.68,August 3-4
00:02:39,8.68,August 3-4
00:02:41,8.68,August 3-4
00:02:43,8.69,August 3-4
00:02:45,8.68,August 3-4
00:02:47,8.68,August 3-4
00:02:49,8.68,August 3-4
00:02:51,8.68,August 3-4
00:02:53,8.68,August 3-4
00:02:55,8.69,August 3-4
00:02:57,8.69,August 3-4
00:02:59,8.69,August 3-4
00:03:01,8.68,August 3-4
00:03:03,8.68,August 3-4
00:03:05,8.68,August 3-4
00:03:07,8.68,August 3-4
00:03:09,8.69,August 3-4
00:03:11,8.68,August 3-4
00:03:13,8.68,August 3-4
00:03:15,8.68,August 3-4
00:03:17,8.68,August 3-4
00:03:19,8.68,August 3-4
00:03:21,8.68,August 3-4
00:03:23,8.68,August 3-4
00:03:25,8.68,August 3-4
00:03:27,8.68,August 3-4
00:03:29,8.68,August 3-4
00:03:31,8.68,August 3-4
00:03:33,8.68,August 3-4
00:03:35,8.68,August 3-4
00:03:37,8.68,August 3-4
00:03:39,8.68,August 3-4
00:03:41,8.68,August 3-4
00:03:43,8.68,August 3-4
00:03:45,8.68,August 3-4
00:03:47,8.68,August 3-4
00:03:49,8.69,August 3-4
00:03:51,8.68,August 3-4
00:03:53,8.68,August 3-4
00:03:55,8.68,August 3-4
00:03:57,8.68,August 3-4
00:03:59,8.68,August 3-4
00:04:01,8.68,August 3-4
00:04:03,8.68,August 3-4
00:04:05,8.68,August 3-4
00:04:07,8.69,August 3-4
00:04:09,8.69,August 3-4
00:04:11,8.68,August 3-4
00:04:13,8.68,August 3-4
00:04:15,8.68,August 3-4
00:04:17,8.68,August 3-4
00:04:19,8.68,August 3-4
00:04:21,8.69,August 3-4
00:04:23,8.68,August 3-4
00:04:25,8.68,August 3-4
00:04:27,8.69,August 3-4
00:04:29,8.69,August 3-4
00:04:31,8.69,August 3-4
00:04:33,8.68,August 3-4
00:04:35,8.68,August 3-4
00:04:37,8.68,August 3-4
00:04:39,8.68,August 3-4
00:04:41,8.68,August 3-4
00:04:43,8.68,August 3-4
00:04:45,8.68,August 3-4
00:04:47,8.68,August 3-4
00:04:49,8.68,August 3-4
00:04:51,8.68,August 3-4
00:04:53,8.68,August 3-4
00:04:55,8.69,August 3-4
00:04:57,8.68,August 3-4
00:04:59,8.68,August 3-4
00:05:01,8.68,August 3-4
00:05:03,8.68,August 3-4
00:05:05,8.69,August 3-4
00:05:07,8.68,August 3-4
00:05:09,8.68,August 3-4
00:05:11,8.69,August 3-4
00:05:13,8.68,August 3-4
00:05:15,8.68,August 3-4
00:05:17,8.68,August 3-4
00:05:19,8.68,August 3-4
00:05:21,8.68,August 3-4
00:05:23,8.68,August 3-4
00:05:25,8.69,August 3-4
00:05:27,8.69,August 3-4
00:05:29,8.69,August 3-4
00:05:31,8.69,August 3-4
00:05:33,8.69,August 3-4
00:05:35,8.68,August 3-4
00:05:37,8.68,August 3-4
00:05:39,8.68,August 3-4
00:05:41,8.68,August 3-4
00:05:43,8.68,August 3-4
00:05:45,8.68,August 3-4
00:05:47,8.68,August 3-4
00:05:49,8.68,August 3-4
00:05:51,8.68,August 3-4
00:05:53,8.68,August 3-4
00:05:55,8.68,August 3-4
00:05:57,8.68,August 3-4
00:05:59,8.68,August 3-4
00:06:01,8.69,August 3-4
00:06:03,8.69,August 3-4
00:06:05,8.68,August 3-4
00:06:07,8.68,August 3-4
00:06:09,8.68,August 3-4
00:06:11,8.68,August 3-4
00:06:13,8.68,August 3-4
00:06:15,8.68,August 3-4
00:06:17,8.68,August 3-4
00:06:19,8.68,August 3-4
00:06:21,8.67,August 3-4
00:06:23,8.67,August 3-4
00:06:25,8.68,August 3-4
00:06:27,8.68,August 3-4
00:06:29,8.68,August 3-4
00:06:31,8.68,August 3-4
00:06:33,8.68,August 3-4
00:06:35,8.68,August 3-4
00:06:37,8.68,August 3-4
00:06:39,8.68,August 3-4
00:06:41,8.68,August 3-4
00:06:43,8.68,August 3-4
00:06:45,8.68,August 3-4
00:06:47,8.68,August 3-4
00:06:49,8.68,August 3-4
00:06:51,8.68,August 3-4
00:06:53,8.68,August 3-4
00:06:55,8.68,August 3-4
00:06:57,8.68,August 3-4
00:06:59,8.68,August 3-4
00:07:01,8.68,August 3-4
00:07:03,8.68,August 3-4
00:07:05,8.68,August 3-4
00:07:07,8.68,August 3-4
00:07:09,8.68,August 3-4
00:07:11,8.68,August 3-4
00:07:13,8.68,August 3-4
00:07:15,8.68,August 3-4
00:07:17,8.68,August 3-4
00:07:19,8.68,August 3-4
00:07:21,8.68,August 3-4
00:07:23,8.68,August 3-4
00:07:25,8.68,August 3-4
00:07:27,8.68,August 3-4
00:07:29,8.68,August 3-4
00:07:31,8.68,August 3-4
00:07:33,8.68,August 3-4
00:07:35,8.68,August 3-4
00:07:37,8.68,August 3-4
00:07:39,8.68,August 3-4
00:07:41,8.68,August 3-4
00:07:43,8.67,August 3-4
00:07:45,8.68,August 3-4
00:07:47,8.68,August 3-4
00:07:49,8.68,August 3-4
00:07:51,8.68,August 3-4
00:07:53,8.68,August 3-4
00:07:55,8.68,August 3-4
00:07:57,8.68,August 3-4
00:07:59,8.68,August 3-4
00:08:01,8.68,August 3-4
00:08:03,8.68,August 3-4
00:08:05,8.68,August 3-4
00:08:07,8.68,August 3-4
00:08:09,8.68,August 3-4
00:08:11,8.69,August 3-4
00:08:13,8.69,August 3-4
00:08:15,8.68,August 3-4
00:08:17,8.68,August 3-4
00:08:19,8.68,August 3-4
00:08:21,8.68,August 3-4
00:08:23,8.68,August 3-4
00:08:25,8.68,August 3-4
00:08:27,8.68,August 3-4
00:08:29,8.68,August 3-4
00:08:31,8.68,August 3-4
00:08:33,8.68,August 3-4
00:08:35,8.68,August 3-4
00:08:37,8.68,August 3-4
00:08:39,8.68,August 3-4
00:08:41,8.68,August 3-4
00:08:43,8.69,August 3-4
00:08:45,8.68,August 3-4
00:08:47,8.68,August 3-4
00:08:49,8.68,August 3-4
00:08:51,8.68,August 3-4
00:08:53,8.68,August 3-4
00:08:55,8.68,August 3-4
00:08:57,8.68,August 3-4
00:08:59,8.68,August 3-4
00:09:01,8.68,August 3-4
00:09:03,8.68,August 3-4
00:09:05,8.68,August 3-4
00:09:07,8.68,August 3-4
00:09:09,8.68,August 3-4
00:09:11,8.68,August 3-4
00:09:13,8.68,August 3-4
00:09:15,8.68,August 3-4
00:09:17,8.68,August 3-4
00:09:19,8.68,August 3-4
00:09:21,8.68,August 3-4
00:09:23,8.68,August 3-4
00:09:25,8.68,August 3-4
00:09:27,8.68,August 3-4
00:09:29,8.68,August 3-4
00:09:31,8.68,August 3-4
00:09:33,8.68,August 3-4
00:09:35,8.68,August 3-4
00:09:37,8.68,August 3-4
00:09:39,8.68,August 3-4
00:09:41,8.68,August 3-4
00:09:43,8.68,August 3-4
00:09:45,8.68,August 3-4
00:09:47,8.68,August 3-4
00:09:49,8.68,August 3-4
00:09:51,8.68,August 3-4
00:09:53,8.68,August 3-4
00:09:55,8.68,August 3-4
00:09:57,8.68,August 3-4
00:09:59,8.68,August 3-4
00:10:01,8.68,August 3-4
00:10:03,8.68,August 3-4
00:10:05,8.68,August 3-4
00:10:07,8.68,August 3-4
00:10:09,8.68,August 3-4
00:10:11,8.68,August 3-4
00:10:13,8.68,August 3-4
00:10:15,8.68,August 3-4
00:10:17,8.68,August 3-4
00:10:19,8.68,August 3-4
00:10:21,8.68,August 3-4
00:10:23,8.68,August 3-4
00:10:25,8.68,August 3-4
00:10:27,8.68,August 3-4
00:10:29,8.68,August 3-4
00:10:31,8.68,August 3-4
00:10:33,8.68,August 3-4
00:10:35,8.68,August 3-4
00:10:37,8.68,August 3-4
00:10:39,8.68,August 3-4
00:10:41,8.68,August 3-4
00:10:43,8.67,August 3-4
