Time,EC,Experiment
09:28:37,349.6,Baseline
09:28:39,350,Baseline
09:28:41,352.3,Baseline
09:28:33,354.2,Baseline
09:28:35,354.6,Baseline
09:28:25,355.7,Baseline
09:28:11,355.8,Baseline
09:28:19,355.8,Baseline
09:28:09,355.9,Baseline
09:28:27,355.9,Baseline
09:28:29,356.1,Baseline
09:28:15,356.2,Baseline
09:28:01,356.3,Baseline
09:28:23,356.3,Baseline
09:28:31,356.5,Baseline
09:28:05,356.7,Baseline
09:28:21,356.8,Baseline
09:28:07,357.1,Baseline
09:28:13,357.1,Baseline
09:28:17,357.2,Baseline
09:28:03,357.4,Baseline
09:54:11,357.6,Baseline
09:54:21,358,Baseline
09:54:23,358,Baseline
09:54:09,358.1,Baseline
09:54:17,358.1,Baseline
09:54:19,358.1,Baseline
09:54:27,358.1,Baseline
09:54:01,358.2,Baseline
09:54:03,358.2,Baseline
09:54:13,358.2,Baseline
09:54:15,358.2,Baseline
09:54:05,358.3,Baseline
09:54:07,358.3,Baseline
09:54:25,358.3,Baseline
09:53:55,358.5,Baseline
09:53:59,358.6,Baseline
09:53:45,358.7,Baseline
09:53:49,358.7,Baseline
09:53:51,358.7,Baseline
09:53:53,358.7,Baseline
09:53:47,358.8,Baseline
09:53:57,358.8,Baseline
09:53:17,358.9,Baseline
09:53:19,358.9,Baseline
09:53:21,359.2,Baseline
09:53:37,359.2,Baseline
09:53:39,359.3,Baseline
09:53:41,359.3,Baseline
09:54:31,359.3,Baseline
09:54:37,359.3,Baseline
09:54:41,359.3,Baseline
09:54:43,359.3,Baseline
09:54:45,359.3,Baseline
09:53:29,359.4,Baseline
09:53:31,359.4,Baseline
09:53:33,359.4,Baseline
09:53:43,359.4,Baseline
09:54:29,359.4,Baseline
09:54:33,359.4,Baseline
09:54:35,359.4,Baseline
09:54:39,359.4,Baseline
09:54:47,359.4,Baseline
09:54:49,359.4,Baseline
09:55:35,359.4,Baseline
09:53:23,359.5,Baseline
09:53:35,359.5,Baseline
09:53:25,359.6,Baseline
09:55:33,359.6,Baseline
09:53:15,359.7,Baseline
09:53:27,359.7,Baseline
09:53:13,359.8,Baseline
09:55:31,359.8,Baseline
09:52:57,360,Baseline
09:53:03,360,Baseline
09:54:55,360,Baseline
09:55:37,360,Baseline
